"계정항목별",2000.1/4,2000.2/4,2000.3/4,2000.4/4,2001.1/4,2001.2/4,2001.3/4,2001.4/4,2002.1/4,2002.2/4,2002.3/4,2002.4/4,2003.1/4,2003.2/4,2003.3/4,2003.4/4,2004.1/4,2004.2/4,2004.3/4,2004.4/4,2005.1/4,2005.2/4,2005.3/4,2005.4/4,2006.1/4,2006.2/4,2006.3/4,2006.4/4,2007.1/4,2007.2/4,2007.3/4,2007.4/4,2008.1/4,2008.2/4,2008.3/4,2008.4/4,2009.1/4,2009.2/4,2009.3/4,2009.4/4,2010.1/4,2010.2/4,2010.3/4,2010.4/4,2011.1/4,2011.2/4,2011.3/4,2011.4/4,2012.1/4,2012.2/4,2012.3/4,2012.4/4,2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4
"총저축",45790.7,56588.5,58783.1,59863.6,49365.0,59507.1,59230.1,58094.5,51212.2,62324.2,64007.2,70000.5,56572.9,67599.5,71161.2,81465.4,68705.7,81173.7,84126.1,88987.1,70655.3,79614.5,83849.3,90094.4,69916.9,80395.1,88547.9,92763.1,74982.8,89433.5,97542.1,104148.7,81491.3,96726.2,101262.9,106685.0,85043.7,98902.1,108172.9,110783.1,97280.2,119635.2,122488.2,125047.9,101829.9,120272.8,126015.9,134618.6,108849.3,130758.7,127636.8,133561.8,112401.1,134747.2,136044.6,141756.1,117411.1,139615.5,141577.7,150087.0,135188.7,149739.4,160024.4,159109.0,141070.7,163918.1,164671.5,172243.9,149272.8,166363.7,185138.0,180130.3,147168.8,170338.5,184218.1,180631.1,142731.4,168262.1,180988.5,178632.7,151808.4,166643.9,186693.2,198952.5,167457.8,186578.7,200714.6,204008.9,166496.9,184913.6,189847.7,192192.5
"a.민간",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"a.비금융 법인기업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"a.금융기관",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"a.가계 및 비영리단체",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"a.일반정부",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"총투자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"총자본형성",48412.4,55251.1,55420.6,55262.1,49426.3,58249.2,58061.0,57702.9,51278.1,63198.4,62087.4,67434.5,61762.6,68367.7,68986.0,71181.8,65127.2,75850.5,75812.6,78902.6,66985.9,79709.8,82255.4,82297.8,73873.2,82576.8,89629.1,85702.1,77838.0,93046.7,92292.8,97472.6,86047.2,104314.1,110113.6,88113.3,69217.8,85264.0,99684.8,100205.6,96895.7,107906.8,110143.8,115591.5,104748.4,124854.2,112856.4,120326.9,112451.4,120095.4,109486.4,108961.4,103516.7,112076.9,114617.2,118314.0,106704.9,116916.1,123305.8,118677.3,109470.6,121348.3,129471.2,129311.5,110589.1,132126.9,140229.5,141772.2,130801.0,148688.3,156139.0,157083.2,136324.4,151671.1,152209.2,157482.7,133180.5,156388.2,157988.7,158562.1,137895.3,158472.2,159464.7,162960.3,143013.1,166314.1,173077.2,182390.3,150713.4,175880.6,193076.4,193354.0
"b.민간",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"b.비금융 법인기업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"b.금융기관",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"b.가계 및 비영리단체",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"b.일반정부",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"국외투자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"통계상 불일치",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0
"국민총처분가능소득",151743.4,158249.0,165128.6,172074.5,164453.8,173642.7,178511.6,184390.8,181803.4,191684.2,196930.5,209474.1,195413.2,202094.9,208429.8,225354.5,212446.8,222217.1,229022.7,240537.7,222899.0,231235.8,240399.2,253739.9,234047.8,243062.8,255151.3,267094.0,250148.5,264501.5,276849.5,292898.9,271686.2,285976.3,294613.0,302396.8,278479.2,295482.2,309053.2,319407.5,307252.7,328019.0,335940.6,348175.1,326850.6,343162.7,353630.9,369839.0,345773.6,362189.8,364764.1,377883.9,356906.7,374810.7,381289.9,394717.6,372985.6,388701.3,394968.8,410457.8,397843.6,408022.8,422243.8,430851.8,414597.7,433569.6,440038.9,453798.1,434580.4,449581.5,475835.0,476744.9,449393.2,468370.8,488256.9,492604.3,454956.5,479735.7,496513.0,504006.5,463748.9,476496.7,499720.0,514547.6,489432.6,517264.7,533834.9,550226.2,515051.0,541483.6,554408.1,565709.0
